gyro_bias_x (deg/s),gyro_bias_y (deg/s),gyro_bias_z (deg/s)
-4.990328506597286809e-05,1.708441080182562244e-01,-2.985309896061533400e-05
-3.829299838612182773e-05,1.709014097267414767e-01,-2.919514918760627995e-05
-1.327697255650741601e-05,1.709586598288937997e-01,-2.768258799748047887e-05
-3.809705148425580019e-06,1.710159619390710095e-01,-2.716742131061884453e-05
1.223794483218436875e-05,1.710732397566477880e-01,-2.626674536509676392e-05
-5.782986520094281292e-06,1.711305505139852634e-01,-2.754224276564908678e-05
-1.384669713389087326e-05,1.711878692981803340e-01,-2.820050707719369502e-05
-1.998760909668540533e-05,1.712451861804062114e-01,-2.872175770371443969e-05
-1.766060571486567543e-05,1.713024975765624069e-01,-2.871091292403814499e-05
-2.301670435478512725e-05,1.713598108587914004e-01,-2.919963510349613673e-05
-3.681234692902866294e-05,1.714171136522747163e-01,-3.019129806598056109e-05
-3.676290561002360831e-05,1.714744240643470141e-01,-3.030691438505699460e-05
-3.609351130660294117e-05,1.715317326995076386e-01,-3.042776561831153859e-05
-3.554573416545147468e-05,1.715890400774827407e-01,-3.054541054305301710e-05
-4.830212775280324925e-05,1.716463378405063134e-01,-3.149507451742866813e-05
-3.750842116425779363e-05,1.717036319932732369e-01,-3.093682457651674366e-05
-4.896771536039529698e-05,1.717609315417000793e-01,-3.184365366996134609e-05
-4.463175005980345855e-05,1.718182354472700679e-01,-3.171441965399012815e-05
-7.121460775050730873e-05,1.718754863977169922e-01,-3.359562455407186373e-05
-5.551846328909294044e-05,1.719327777871016705e-01,-3.273525863675535443e-05
-4.975289167203946199e-05,1.719900849145822030e-01,-3.250957928738840646e-05
-5.716994692307400408e-05,1.720473907920612444e-01,-3.313755718535902695e-05
